id,ano_jogo,posicao,pontos
19,2018,9,2
20,2018,10,1
21,2019,1,25
22,2019,2,18
23,2019,3,15
24,2019,4,12
25,2019,5,10
26,2019,6,8
27,2019,7,6
28,2019,8,4
29,2019,9,2
30,2019,10,1
31,2020,1,25
32,2020,2,18
33,2020,3,15
34,2020,4,12
35,2020,5,10
36,2020,6,8
37,2020,7,6
38,2020,8,4
39,2020,9,2
40,2020,10,1
41,2021,1,25
42,2021,2,18
43,2021,3,15
44,2021,4,12
45,2021,5,10
46,2021,6,8
47,2021,7,6
48,2021,8,4
49,2021,9,2
50,2021,10,1
51,2022,1,25
52,2022,2,18
53,2022,3,15
54,2022,4,12
55,2022,5,10
56,2022,6,8
57,2022,7,6
58,2022,8,4
59,2022,9,2
60,2022,10,1
61,2023,1,25
62,2023,2,18
63,2023,3,15
64,2023,4,12
65,2023,5,10
66,2023,6,8
67,2023,7,6
68,2023,8,4
69,2023,9,2
70,2023,10,1
71,2024,1,25
72,2024,2,18
73,2024,3,15
74,2024,4,12
75,2024,5,10
76,2024,6,8
77,2024,7,6
78,2024,8,4
79,2024,9,2
80,2024,10,1
81,2025,1,25
82,2025,2,18
83,2025,3,15
84,2025,4,12
85,2025,5,10
86,2025,6,8
87,2025,7,6
88,2025,8,4
89,2025,9,2
90,2025,10,1
1,2017,1,25
2,2017,2,18
3,2017,3,15
4,2017,4,12
5,2017,5,10
6,2017,6,8
7,2017,7,6
8,2017,8,4
9,2017,9,2
10,2017,10,1
11,2018,1,25
12,2018,2,18
13,2018,3,15
14,2018,4,12
15,2018,5,10
16,2018,6,8
17,2018,7,6
18,2018,8,4
