id,ano_jogo,ordem,nome_prova,abreviacao_prova,sprint,bandeira
138,2023,1,Bahrein,BAH,False,
139,2023,2,Jidah,JID,False,
140,2023,3,Azerbaijão,AZE,True,
141,2023,4,Miami,MIA,False,
142,2023,5,Imola,IMO,False,
143,2023,6,Monaco,MON,False,
144,2023,7,Espanha,ESP,False,
145,2023,8,Canada,CAN,False,
146,2023,9,Austria,AUT,True,
148,2023,10,França,FRA,False,
149,2023,11,Belgica,BEL,True,
150,2023,12,Italia,ITA,False,
151,2023,13,Mexico,MEX,False,
152,2023,14,Brasil,BRA,True,
154,2024,1,Bahrein,BAH,False,
155,2024,2,Jidah,JID,False,
156,2024,3,Miami,MIA,True,
157,2024,4,Imola,IMO,False,
158,2024,5,Monaco,MON,False,
159,2024,6,Canada,CAN,False,
160,2024,7,Espanha,ESP,False,
161,2024,8,Austria,AUT,True,
162,2024,9,Inglaterra,ING,False,
163,2024,10,Belgica,BEL,False,
164,2024,11,Italia,ITA,False,
165,2024,12,Azerbaijao,AZE,False,
166,2024,13,Mexico,MEX,False,
167,2024,14,Brasil,BRA,True,
168,2024,15,Las Vegas,VEG,False,
169,2024,16,Qatar,QAT,True,
170,2025,1,Bahrein,BAH,False,
171,2025,2,Jidah,JID,False,
172,2025,3,Miami,MIA,True,
173,2025,4,Imola,IMO,False,
174,2025,5,Monaco,MON,False,
175,2025,6,Espanha,ESP,False,
176,2025,7,Canada,CAN,False,
177,2025,8,Austria,AUT,False,
178,2025,9,Inglaterra,ING,False,
179,2025,10,Belgica,BEL,True,
180,2025,11,Italia,ITA,False,
181,2025,12,Azerbaijao,AZE,False,
182,2025,13,Mexico,MEX,False,
183,2025,14,Brasil,BRA,True,
184,2025,15,Las Vegas,VEG,False,
185,2025,16,Qatar,QAT,True,
106,2022,1,Bahrein,BAH,False,
107,2022,2,Jidah,JID,False,
108,2022,3,Imola,IMO,True,
109,2022,4,Miami,MIA,False,
110,2022,5,Espanha,ESP,False,
111,2022,6,Monaco,MON,False,
112,2022,7,Azerbaijão,AZE,False,
113,2022,8,Canada,CAN,False,
114,2022,9,Inglaterra,ING,False,
115,2022,10,Austria,AUT,False,
116,2022,11,França,FRA,False,
117,2022,12,Belgica,BEL,False,
118,2022,13,Italia,ITA,False,
119,2022,14,Mexico,MEX,False,
120,2022,15,Portimao,POR,False,
121,2022,16,Brasil,BRA,True,
147,2023,15,Inglaterra,ING,False,
153,2023,16,Las Vegas,VEG,False,
1,2017,1,Australia,AUS,False,
2,2017,2,China,CHN,False,
3,2017,3,Bahrein,BAH,False,
4,2017,4,Russia,RUS,False,
5,2017,5,Espanha,ESP,False,
6,2017,6,Monaco,MON,False,
