ID_PONTO,POSICAO,PONTOS,ANO_JOGO
19,9,2,2018
20,10,1,2018
21,1,25,2019
22,2,18,2019
23,3,15,2019
24,4,12,2019
25,5,10,2019
26,6,8,2019
27,7,6,2019
28,8,4,2019
29,9,2,2019
30,10,1,2019
31,1,25,2020
32,2,18,2020
33,3,15,2020
34,4,12,2020
35,5,10,2020
36,6,8,2020
37,7,6,2020
38,8,4,2020
39,9,2,2020
40,10,1,2020
41,1,25,2021
42,2,18,2021
43,3,15,2021
44,4,12,2021
45,5,10,2021
46,6,8,2021
47,7,6,2021
48,8,4,2021
49,9,2,2021
50,10,1,2021
51,1,25,2022
52,2,18,2022
53,3,15,2022
54,4,12,2022
55,5,10,2022
56,6,8,2022
57,7,6,2022
58,8,4,2022
59,9,2,2022
60,10,1,2022
61,1,25,2023
62,2,18,2023
63,3,15,2023
64,4,12,2023
65,5,10,2023
66,6,8,2023
67,7,6,2023
68,8,4,2023
69,9,2,2023
70,10,1,2023
71,1,25,2024
72,2,18,2024
73,3,15,2024
74,4,12,2024
75,5,10,2024
76,6,8,2024
77,7,6,2024
78,8,4,2024
79,9,2,2024
80,10,1,2024
81,1,25,2025
82,2,18,2025
83,3,15,2025
84,4,12,2025
85,5,10,2025
86,6,8,2025
87,7,6,2025
88,8,4,2025
89,9,2,2025
90,10,1,2025
1,1,25,2017
2,2,18,2017
3,3,15,2017
4,4,12,2017
5,5,10,2017
6,6,8,2017
7,7,6,2017
8,8,4,2017
9,9,2,2017
10,10,1,2017
11,1,25,2018
12,2,18,2018
13,3,15,2018
14,4,12,2018
15,5,10,2018
16,6,8,2018
17,7,6,2018
18,8,4,2018
