ID_RECORDE,ID_PILOTO,QTD_PODIO,Ano_Jogo
1,66,155,"2019"
8,125,182,"2022"
9,66,155,"2022"
10,127,122,"2022"
11,68,106,"2022"
12,149,98,"2022"
13,129,60,"2022"
14,130,15,"2022"
15,128,13,"2022"
16,134,6,"2022"
17,135,5,"2022"
18,158,191,"2023"
19,66,155,"2023"
20,174,122,"2023"
21,68,106,"2023"
22,175,103,"2023"
23,166,98,"2023"
24,67,80,"2023"
25,154,77,"2023"
26,164,67,"2023"
27,171,32,"2023"
28,155,26,"2023"
29,156,24,"2023"
30,157,15,"2023"
31,159,9,"2023"
32,162,6,"2023"
33,66,155,"2024"
34,174,122,"2024"
35,68,106,"2024"
36,175,103,"2024"
37,67,80,"2024"
38,190,197,"2024"
39,186,98,"2024"
40,198,106,"2024"
2,43,134,"2019"
3,45,111,"2019"
4,68,106,"2019"
5,55,103,"2019"
6,70,97,"2019"
7,67,80,"2019"
