Id_Classificacao,Id_Piloto,Ano_Jogo,Temporada,Pos_Prova1,Pos_Prova2,Pos_Prova3,Pos_Prova4,Pos_Prova5,Pos_Prova6,Pos_Prova7,Pos_Prova8,Pos_Prova9,Pos_Prova10,Pos_Prova11,Pos_Prova12,Pos_Prova13,Pos_Prova14,Pos_Prova15,Pos_Prova16,Pos_Prova17,Pos_Prova18,Pos_Prova19,Pos_Prova20,Total_Pontos,Pos_Prova21,Pos_Prova22,Pos_Prova23,Pos_Prova24,Pos_Prova25,Tipo_Carreira
482,43,2019,10,10,17,13,13,8,3,7,13,10,2,0,4,8,7,0,20,5,4,3,3,,3,,,,,"Piloto"
483,44,2019,10,6,5,8,9,15,13,8,12,6,14,9,7,5,4,3,6,6,13,12,16,,8,,,,,"Piloto"
484,45,2019,10,13,10,0,12,14,5,12,14,3,13,15,8,16,18,11,12,15,16,11,13,,19,,,,,"Piloto"
485,46,2019,10,7,14,17,8,3,2,9,5,12,0,16,14,9,8,5,14,7,12,15,5,,10,,,,,"Piloto"
486,47,2019,10,0,9,6,7,6,12,0,8,9,10,6,9,10,11,2,11,3,8,8,6,,1,,,,,"Piloto"
487,48,2019,10,16,7,12,16,13,8,11,10,7,8,0,6,12,12,12,13,17,14,14,11,,5,,,,,"Piloto"
488,49,2019,10,12,11,9,15,18,4,15,15,16,18,17,11,17,17,17,17,0,15,18,0,,17,,,,,"Piloto"
489,50,2019,10,3,4,3,4,10,17,6,9,8,5,10,0,14,9,10,2,1,6,2,2,,7,,,,,"Piloto"
490,51,2019,10,0,0,0,0,0,0,0,0,0,0,0,0,18,15,18,16,13,0,19,15,,13,,,,,"Piloto"
491,52,2019,10,2,8,2,1,17,7,2,4,4,3,2,3,2,5,0,3,2,3,7,8,,4,,,,,"Piloto"
492,53,2019,10,14,3,0,3,7,0,4,3,2,12,4,10,4,3,8,5,4,2,13,4,,6,,,,,"Piloto"
493,54,2019,10,9,16,10,10,16,9,10,18,17,17,12,17,11,14,15,15,14,11,10,19,,18,,,,,"Piloto"
494,55,2019,10,17,19,14,17,0,14,17,17,18,15,14,16,0,13,14,18,18,17,17,14,,16,,,,,"Piloto"
495,56,2019,10,18,18,16,19,19,18,0,0,11,6,13,0,0,0,0,0,0,0,0,0,,0,,,,,"Piloto"
496,57,2019,10,19,0,18,20,12,15,18,16,19,16,18,15,19,16,16,19,16,18,9,0,,15,,,,,"Piloto"
497,58,2019,10,11,13,7,14,11,10,14,7,14,7,8,2,13,10,9,10,8,5,5,9,,2,,,,,"Piloto"
498,59,2019,10,15,15,15,18,9,11,16,11,5,1,7,5,6,0,6,7,9,0,4,12,,11,,,,,"Piloto"
499,60,2019,10,5,12,5,6,4,19,13,6,13,11,11,13,15,19,4,9,12,7,0,17,,14,,,,,"Piloto"
500,61,2019,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,"Piloto"
501,62,2019,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,"Piloto"
502,63,2019,10,1,1,1,2,2,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,,0,,,,,"Piloto"
503,64,2019,10,4,6,11,5,5,16,5,2,15,9,3,1,7,2,13,4,11,9,16,10,,9,,,,,"Piloto"
504,65,2019,10,8,2,4,11,1,6,3,0,0,4,5,12,3,6,7,8,10,10,6,7,,12,,,,,"Piloto"
505,71,2020,1,1,2,2,3,1,1,5,2,2,13,0,1,1,4,2,11,0,2,6,1,,2,2,,,,"Piloto"
506,72,2020,1,2,1,1,1,7,2,1,1,3,2,1,3,6,1,3,4,1,5,1,2,,1,4,,,,"Piloto"
507,73,2020,1,3,3,0,2,4,7,0,19,6,4,0,4,9,2,4,10,4,1,8,5,,3,3,,,,"Piloto"
508,74,2020,1,6,4,3,5,2,4,4,0,1,1,3,2,3,3,1,3,3,3,2,3,,5,1,,,,"Piloto"
509,75,2020,1,4,5,4,4,3,3,2,8,5,3,6,5,0,5,6,0,5,4,15,4,,4,14,,,,"Piloto"
510,76,2020,1,0,9,12,7,5,5,3,3,10,7,2,6,2,0,9,18,2,7,0,12,,9,6,,,,"Piloto"
511,77,2020,1,8,8,8,6,9,9,6,4,4,6,5,9,14,6,17,13,6,6,5,8,,8,9,,,,"Piloto"
512,78,2020,1,10,0,7,11,19,10,11,6,7,0,9,14,4,17,12,14,14,9,3,9,,17,7,,,,"Piloto"
513,79,2020,1,0,7,5,8,6,8,8,7,9,5,4,15,15,10,11,6,11,12,7,11,,0,10,,,,"Piloto"
514,80,2020,1,9,16,6,10,8,11,10,5,14,9,14,13,17,9,15,1,13,14,4,10,,14,16,,,,"Piloto"
515,81,2020,1,5,10,9,12,10,6,9,13,12,11,12,7,10,8,5,17,7,11,12,7,,12,5,,,,"Piloto"
1,1,2017,1,3,3,1,0,20,2,3,0,2,2,2,3,4,15,0,1,3,6,4,1,,,,,,,"Piloto"
516,82,2020,1,7,12,10,0,12,20,13,14,0,15,8,8,16,13,8,8,9,13,9,14,,15,11,,,,"Piloto"
517,83,2020,1,13,6,14,14,13,12,12,16,0,18,7,11,8,7,7,2,8,10,0,13,,6,12,,,,"Piloto"
518,84,2020,1,15,13,11,9,15,14,14,12,13,10,13,10,20,14,10,9,0,8,11,15,,7,8,,,,"Piloto"
519,85,2020,1,16,19,15,15,17,17,19,15,15,17,10,16,18,18,20,7,15,17,17,17,,16,18,,,,"Piloto"
520,86,2020,1,17,15,18,16,14,16,16,17,17,14,18,17,12,16,18,15,16,18,16,16,,19,19,,,,"Piloto"
521,87,2020,1,11,14,0,0,16,15,17,9,16,16,11,12,7,11,13,16,12,15,14,0,,11,17,,,,"Piloto"
522,88,2020,1,12,11,13,17,18,18,15,11,11,12,15,0,13,12,16,19,17,16,13,18,,13,13,,,,"Piloto"
523,89,2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,"Piloto"
524,90,2020,1,18,18,17,18,0,19,18,18,18,19,16,18,11,19,19,12,18,19,18,19,,18,15,,,,"Piloto"
525,91,2020,1,14,17,16,13,11,13,7,10,8,8,17,19,5,15,14,5,10,0,10,6,,10,0,,,,"Piloto"
526,71,2020,2,1,1,2,1,10,1,0,5,2,6,6,1,9,2,9,7,2,1,3,0,,4,0,,,,"Piloto"
527,72,2020,2,2,10,8,0,3,3,1,2,3,5,1,4,8,5,3,17,1,11,4,11,,3,4,,,,"Piloto"
528,73,2020,2,15,9,6,10,5,9,4,10,4,7,4,3,10,4,10,9,5,4,8,6,,8,6,,,,"Piloto"
529,74,2020,2,5,5,17,6,2,8,3,1,7,15,2,2,3,1,1,14,4,3,1,0,,1,5,,,,"Piloto"
530,75,2020,2,7,11,4,13,1,11,5,19,10,10,8,5,1,12,14,4,8,5,11,4,,11,10,,,,"Piloto"
531,76,2020,2,9,16,7,8,9,12,12,14,11,1,10,10,14,7,11,3,9,8,10,5,,14,1,,,,"Piloto"
532,77,2020,2,10,2,0,9,11,6,6,4,13,2,7,12,0,9,15,13,16,9,15,7,,12,13,,,,"Piloto"
533,78,2020,2,4,0,3,5,8,4,10,6,5,14,13,13,7,11,12,12,15,7,9,13,,10,8,,,,"Piloto"
534,79,2020,2,6,14,0,3,7,17,9,8,8,8,9,7,4,0,7,10,6,2,6,9,,5,12,,,,"Piloto"
535,80,2020,2,0,6,13,4,16,18,7,3,14,11,15,8,13,3,4,16,11,15,14,8,,0,0,,,,"Piloto"
536,81,2020,2,8,3,9,7,6,10,14,15,16,9,11,15,0,13,8,8,12,10,7,14,,2,3,,,,"Piloto"
537,82,2020,2,12,8,12,14,12,5,15,13,12,4,16,11,5,8,13,15,13,12,5,12,,9,7,,,,"Piloto"
538,83,2020,2,13,12,11,15,13,16,13,11,9,12,14,9,6,10,0,2,14,16,17,3,,13,9,,,,"Piloto"
539,84,2020,2,11,13,5,12,14,7,8,12,6,0,5,6,11,0,6,11,7,13,12,2,,7,2,,,,"Piloto"
540,85,2020,2,0,15,15,18,17,15,19,18,19,17,17,16,17,18,16,6,18,17,18,16,,0,16,,,,"Piloto"
541,86,2020,2,14,0,16,19,19,19,17,16,18,16,0,17,18,16,18,0,17,19,19,17,,16,17,,,,"Piloto"
542,87,2020,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,"Piloto"
481,21,2017,5,,,,,,,,,,,,,,,,,,,,,,,,,,,"Piloto"
543,88,2020,2,18,7,10,11,0,14,16,7,17,13,12,14,15,14,5,5,10,14,13,10,,15,11,,,,"Piloto"
544,89,2020,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,"Piloto"
545,90,2020,2,16,17,0,16,15,0,18,17,15,18,19,18,12,15,17,18,20,18,16,15,,17,14,,,,"Piloto"
546,91,2020,2,3,4,1,2,4,2,2,9,1,3,3,0,2,6,2,1,3,6,2,1,,6,0,,,,"Piloto"
547,92,2020,2,17,18,14,17,18,13,11,20,20,19,18,19,16,17,19,19,19,20,20,18,,18,15,,,,"Piloto"
548,71,2020,3,0,0,0,0,0,0,0,0,0,0,0,18,13,0,18,11,14,15,15,13,,0,15,,,,"Piloto"
549,72,2020,3,11,10,10,2,10,6,8,9,2,4,3,7,8,3,9,3,2,2,5,1,,7,2,,,,"Piloto"
550,73,2020,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,"Piloto"
551,74,2020,3,0,8,1,0,3,13,7,2,7,7,6,6,3,7,5,0,3,9,8,7,,9,3,,,,"Piloto"
552,75,2020,3,4,11,9,3,1,2,3,14,3,1,2,5,7,4,4,9,1,1,4,4,,12,1,,,,"Piloto"
553,76,2020,3,2,13,4,1,2,1,2,0,8,2,7,2,2,2,8,6,4,3,9,3,,2,9,,,,"Piloto"
554,77,2020,3,10,14,0,6,11,8,15,7,11,8,8,11,0,12,14,13,13,16,13,14,,17,16,,,,"Piloto"
555,78,2020,3,9,6,14,7,14,15,11,13,5,16,11,12,9,13,11,8,10,11,12,8,,11,10,,,,"Piloto"
556,79,2020,3,3,3,3,4,5,11,4,11,4,5,4,1,19,6,2,4,0,6,7,6,,8,6,,,,"Piloto"
557,80,2020,3,8,7,8,13,12,9,10,3,10,17,12,3,5,5,1,5,5,4,6,9,,3,5,,,,"Piloto"
558,81,2020,3,12,12,12,15,8,0,12,5,20,9,14,9,10,10,7,0,6,5,14,5,,10,4,,,,"Piloto"
559,82,2020,3,7,0,6,11,7,19,9,4,9,3,10,4,11,8,6,12,8,7,3,10,,4,7,,,,"Piloto"
560,83,2020,3,5,1,13,12,13,3,6,6,14,14,13,13,12,9,12,7,11,12,17,11,,6,13,,,,"Piloto"
561,84,2020,3,6,9,5,14,6,14,5,8,6,12,5,10,16,16,13,17,7,10,10,0,,19,12,,,,"Piloto"
562,85,2020,3,13,17,15,8,15,12,18,17,18,19,18,16,17,18,19,16,17,17,18,16,,16,18,,,,"Piloto"
563,86,2020,3,0,5,7,9,17,7,13,10,15,11,16,0,4,14,17,18,18,13,11,12,,15,11,,,,"Piloto"
564,87,2020,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,"Piloto"
565,88,2020,3,14,15,11,0,19,10,17,12,16,13,0,14,15,15,15,14,15,18,16,17,,13,17,,,,"Piloto"
566,89,2020,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,"Piloto"
567,90,2020,3,0,16,18,17,16,18,19,19,13,15,17,15,14,17,16,15,12,14,0,15,,14,14,,,,"Piloto"
568,91,2020,3,1,2,2,5,4,5,1,1,1,6,1,0,1,1,3,1,0,0,1,2,,1,0,,,,"Piloto"
569,92,2020,3,15,18,17,16,18,17,16,16,17,18,15,8,6,11,10,2,9,8,2,0,,5,8,,,,"Piloto"
480,20,2017,5,,,,,,,,,,,,,,,,,,,,,,,,,,,"Piloto"
570,93,2020,3,17,19,19,18,20,16,20,18,19,20,19,17,18,19,20,10,16,19,19,18,,18,19,,,,"Piloto"
571,94,2020,3,16,4,16,10,9,4,14,15,12,10,9,0,0,0,0,0,0,0,0,0,,0,0,,,,"Piloto"
572,71,2020,4,0,19,18,18,19,19,0,17,15,19,16,18,17,18,17,18,18,18,16,16,,17,17,,,,"Piloto"
573,72,2020,4,8,3,5,5,5,6,4,3,2,2,2,5,3,5,0,12,4,3,13,4,,11,2,,,,"Piloto"
574,73,2020,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,"Piloto"
575,74,2020,4,4,9,7,9,6,4,17,8,11,8,0,10,10,10,9,8,8,5,7,0,,10,7,,,,"Piloto"
576,75,2020,4,5,4,1,3,1,1,2,6,3,3,6,1,4,2,4,1,7,2,2,5,,3,3,,,,"Piloto"
577,76,2020,4,1,7,2,2,2,0,3,4,5,1,3,2,1,6,6,14,5,4,4,7,,9,4,,,,"Piloto"
578,77,2020,4,10,8,13,13,12,12,12,11,13,14,19,14,6,14,12,5,15,13,8,11,,13,12,,,,"Piloto"
579,78,2020,4,13,10,10,12,8,14,8,5,8,9,7,11,11,11,10,6,14,11,15,12,,16,11,,,,"Piloto"
580,79,2020,4,7,0,0,10,10,8,6,0,4,10,10,7,9,8,0,3,12,6,5,6,,6,6,,,,"Piloto"
581,80,2020,4,12,13,9,11,13,9,14,0,10,7,8,6,0,4,5,16,6,14,10,0,,12,5,,,,"Piloto"
582,81,2020,4,9,6,8,6,11,7,9,7,7,0,13,9,13,0,7,11,10,8,6,8,,7,13,,,,"Piloto"
583,82,2020,4,6,14,6,8,9,11,7,10,9,11,11,8,0,9,8,17,11,9,12,10,,5,10,,,,"Piloto"
584,83,2020,4,3,1,4,4,4,5,11,9,12,6,5,3,5,1,3,2,1,7,9,3,,2,8,,,,"Piloto"
585,84,2020,4,0,2,3,1,3,2,5,2,6,5,4,4,8,3,2,7,2,1,1,2,,1,1,,,,"Piloto"
586,85,2020,4,15,15,14,15,16,15,15,16,19,18,14,16,15,17,18,9,19,17,19,18,,18,18,,,,"Piloto"
587,86,2020,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,"Piloto"
588,87,2020,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,"Piloto"
