Id_Pole,Id_Piloto,Ano_jogo,Temporada,Prova1,Prova2,Prova3,Prova4,Prova5,Prova6,Prova7,Prova8,Prova9,Prova10,Prova11,Prova12,Prova13,Prova14,Prova15,Prova16,Prova17,Prova18,Prova19,Prova20,Prova21,Prova22,Prova23,Prova24,Prova25,Tipo_Carreira
23,,2019,10,63,53,63,47,50,63,63,64,63,63,55,58,63,63,43,50,52,63,63,52,47,,,,,"Piloto"
22,,2017,5,,,,,,,,,,,,,,,,,,,,,,,,,,"Piloto"
24,,2020,1,71,72,72,72,71,71,72,72,71,72,71,71,71,72,72,72,71,74,72,72,72,74,,,,"Piloto"
25,,2020,2,71,71,72,71,75,72,72,72,71,72,72,71,72,71,71,71,72,71,71,91,79,72,,,,"Piloto"
26,,2020,3,79,74,72,74,75,75,91,74,91,75,72,79,91,76,91,91,91,75,72,91,91,81,,,,"Piloto"
27,,2020,4,91,75,75,84,75,76,75,76,72,75,79,84,76,75,91,75,84,84,84,91,74,91,,,,"Piloto"
28,,2020,5,91,83,91,83,84,75,76,91,75,72,91,83,74,72,91,83,72,72,72,91,83,83,,,,"Piloto"
29,,2020,6,84,84,76,84,84,72,91,83,91,72,82,72,82,80,91,,,,,,,,,,,"Piloto"
30,,2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,"Piloto"
31,,2022,1,128,128,129,134,128,125,129,134,129,129,135,129,130,129,143,129,,,,,,,,,,"Piloto"
32,,2022,2,143,128,129,129,134,144,129,128,129,144,125,128,130,129,135,128,,,,,,,,,,"Piloto"
33,,2022,3,143,144,144,133,128,135,130,128,129,135,130,143,144,129,144,144,,,,,,,,,,"Piloto"
34,,2022,4,128,129,128,134,128,144,128,128,135,135,129,135,130,135,144,144,,,,,,,,,,"Piloto"
35,,2022,5,144,128,128,144,,,,,,,,,,,,,,,,,,,,,,"Piloto"
36,,2023,1,154,154,154,154,154,159,159,156,158,159,176,154,159,159,162,159,,,,,,,,,,"Piloto"
37,,2023,2,176,154,156,158,156,176,159,176,176,159,177,176,156,157,176,176,,,,,,,,,,"Piloto"
38,,2023,3,158,176,158,167,157,176,156,162,176,158,176,156,167,163,167,162,,,,,,,,,,"Piloto"
39,,2023,4,159,176,176,157,163,176,156,155,176,156,176,156,159,157,176,156,,,,,,,,,,"Piloto"
