Id_Prova,Nome_Prova,Abreviacao_Prova,Ano_Jogo,Sprint
138,"Bahrein","BAH",2023,"N"
139,"Jidah","JID",2023,"N"
140,"Azerbaijão","AZE",2023,"S"
141,"Miami","MIA",2023,"N"
142,"Imola","IMO",2023,"N"
143,"Monaco","MON",2023,"N"
144,"Espanha","ESP",2023,"N"
145,"Canada","CAN",2023,"N"
146,"Austria","AUT",2023,"S"
148,"França","FRA",2023,"N"
149,"Belgica","BEL",2023,"S"
150,"Italia","ITA",2023,"N"
151,"Mexico","MEX",2023,"N"
152,"Brasil","BRA",2023,"S"
154,"Bahrein","BAH",2024,"N"
155,"Jidah","JID",2024,"N"
156,"Miami","MIA",2024,"S"
157,"Imola","IMO",2024,"N"
158,"Monaco","MON",2024,"N"
159,"Canada","CAN",2024,"N"
160,"Espanha","ESP",2024,"N"
161,"Austria","AUT",2024,"S"
162,"Inglaterra","ING",2024,"N"
163,"Belgica","BEL",2024,"N"
164,"Italia","ITA",2024,"N"
165,"Azerbaijao","AZE",2024,"N"
166,"Mexico","MEX",2024,"N"
167,"Brasil","BRA",2024,"S"
168,"Las Vegas","VEG",2024,"N"
169,"Qatar","QAT",2024,"S"
170,"Bahrein","BAH",2025,"N"
171,"Jidah","JID",2025,"N"
172,"Miami","MIA",2025,"S"
173,"Imola","IMO",2025,"N"
174,"Monaco","MON",2025,"N"
175,"Espanha","ESP",2025,"N"
176,"Canada","CAN",2025,"N"
177,"Austria","AUT",2025,"N"
178,"Inglaterra","ING",2025,"N"
179,"Belgica","BEL",2025,"S"
180,"Italia","ITA",2025,"N"
181,"Azerbaijao","AZE",2025,"N"
182,"Mexico","MEX",2025,"N"
183,"Brasil","BRA",2025,"S"
184,"Las Vegas","VEG",2025,"N"
185,"Qatar","QAT",2025,"S"
106,"Bahrein","BAH",2022,"N"
107,"Jidah","JID",2022,"N"
108,"Imola","IMO",2022,"S"
109,"Miami","MIA",2022,"N"
110,"Espanha","ESP",2022,"N"
111,"Monaco","MON",2022,"N"
112,"Azerbaijão","AZE",2022,"N"
113,"Canada","CAN",2022,"N"
114,"Inglaterra","ING",2022,"N"
115,"Austria","AUT",2022,"N"
116,"França","FRA",2022,"N"
117,"Belgica","BEL",2022,"N"
