Id_Recorde,Id_Piloto,Qtd_Pole,Ano_Jogo
7,125,103,"2022"
8,66,68,"2022"
9,67,65,"2022"
10,127,57,"2022"
11,69,33,"2022"
12,68,33,"2022"
13,149,22,"2022"
14,126,20,"2022"
15,129,13,"2022"
16,128,9,"2022"
17,158,103,"2023"
18,66,68,"2023"
19,67,65,"2023"
20,174,57,"2023"
21,69,33,"2023"
22,68,32,"2023"
23,166,22,"2023"
24,154,20,"2023"
25,164,20,"2023"
26,156,18,"2023"
27,171,3,"2023"
28,157,3,"2023"
29,155,1,"2023"
30,159,1,"2023"
31,66,68,"2024"
32,67,65,"2024"
33,174,57,"2024"
34,69,33,"2024"
35,68,33,"2024"
36,190,104,"2024"
37,186,32,"2024"
38,213,32,"2024"
39,188,23,"2024"
1,43,83,"2019"
2,66,68,"2019"
3,67,65,"2019"
4,45,55,"2019"
5,68,33,"2019"
6,69,33,"2019"
