Id_Recorde,Id_Piloto,Qtd_vitoria,Ano_Jogo
1,66,91,"2019"
6,125,103,"2022"
7,66,91,"2022"
8,127,53,"2022"
9,68,51,"2022"
10,67,41,"2022"
11,149,32,"2022"
12,129,20,"2022"
13,128,2,"2022"
14,130,2,"2022"
15,158,103,"2023"
16,66,91,"2023"
17,174,53,"2023"
18,68,51,"2023"
19,67,41,"2023"
20,154,35,"2023"
21,166,32,"2023"
22,164,10,"2023"
23,171,8,"2023"
24,156,5,"2023"
25,155,4,"2023"
26,157,1,"2023"
27,159,1,"2023"
28,66,91,"2024"
29,174,53,"2024"
30,68,51,"2024"
31,67,41,"2024"
32,190,103,"2024"
33,186,54,"2024"
34,198,32,"2024"
35,213,31,"2024"
2,43,73,"2019"
3,45,52,"2019"
4,68,51,"2019"
5,67,41,"2019"
