ID_Recorde,Id_Piloto,Qtd_Volta,Ano_Jogo
6,66,77,"2022"
7,125,59,"2022"
8,140,46,"2022"
9,68,41,"2022"
10,127,38,"2022"
11,149,23,"2022"
12,129,16,"2022"
13,130,6,"2022"
14,128,4,"2022"
15,134,1,"2022"
16,66,77,"2023"
17,158,61,"2023"
18,175,46,"2023"
19,68,41,"2023"
20,174,38,"2023"
21,166,23,"2023"
22,154,21,"2023"
23,164,19,"2023"
24,171,16,"2023"
25,155,9,"2023"
26,156,7,"2023"
27,159,5,"2023"
28,162,5,"2023"
29,157,3,"2023"
30,66,77,"2024"
31,175,46,"2024"
32,68,41,"2024"
33,174,38,"2024"
34,190,65,"2024"
35,186,30,"2024"
36,213,30,"2024"
37,69,28,"2024"
38,198,26,"2024"
1,66,77,"2019"
2,55,46,"2019"
3,43,41,"2019"
4,68,41,"2019"
5,45,36,"2019"
