Id_Classificacao,Id_Piloto,Ano_Jogo,Temporada,Pos_Prova1,Pos_Prova2,Pos_Prova3,Pos_Prova4,Pos_Prova5,Pos_Prova6,Pos_Prova7,Pos_Prova8,Pos_Prova9,Pos_Prova10,Pos_Prova11,Pos_Prova12,Pos_Prova13,Pos_Prova14,Pos_Prova15,Pos_Prova16,Pos_Prova17,Pos_Prova18,Pos_Prova19,Pos_Prova20,Total_Pontos,Pos_Prova21,Pos_Prova22,Pos_Prova23,Pos_Prova24,Pos_Prova25,Tipo_Carreira
9,133,2022,1,0,0,10,0,0,0,0,0,0,9,0,0,0,0,10,0,,,,,,,,,,,"Piloto"
10,134,2022,1,0,0,4,0,0,0,0,0,0,5,0,0,0,0,4,0,,,,,,,,,,,"Piloto"
11,135,2022,1,0,0,7,0,0,0,0,0,0,6,0,0,0,0,3,0,,,,,,,,,,,"Piloto"
12,136,2022,1,0,0,13,0,0,0,0,0,0,20,0,0,0,0,13,0,,,,,,,,,,,"Piloto"
13,137,2022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,"Piloto"
14,138,2022,1,0,0,12,0,0,0,0,0,0,17,0,0,0,0,17,0,,,,,,,,,,,"Piloto"
15,139,2022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,"Piloto"
16,140,2022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,"Piloto"
17,141,2022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,"Piloto"
18,142,2022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,"Piloto"
19,143,2022,1,0,0,6,0,0,0,0,0,0,2,0,0,0,0,1,0,,,,,,,,,,,"Piloto"
20,144,2022,1,0,0,11,0,0,0,0,0,0,8,0,0,0,0,9,0,,,,,,,,,,,"Piloto"
21,145,2022,1,0,0,14,0,0,0,0,0,0,13,0,0,0,0,12,0,,,,,,,,,,,"Piloto"
22,146,2022,1,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14,0,,,,,,,,,,,"Piloto"
23,147,2022,1,0,0,9,0,0,0,0,0,0,10,0,0,0,0,19,0,,,,,,,,,,,"Piloto"
24,148,2022,1,0,0,0,0,0,0,0,0,0,19,0,0,0,0,20,0,,,,,,,,,,,"Piloto"
25,149,2022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,,,,,,,,,,,"Piloto"
26,125,2022,2,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,18,,,,,,,,,,,"Piloto"
27,126,2022,2,0,0,11,0,0,0,0,0,0,13,0,0,0,0,0,0,,,,,,,,,,,"Piloto"
28,127,2022,2,0,0,8,0,0,0,0,0,0,16,0,0,0,0,0,15,,,,,,,,,,,"Piloto"
29,128,2022,2,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,2,,,,,,,,,,,"Piloto"
30,129,2022,2,0,0,1,0,0,0,0,0,0,12,0,0,0,0,0,5,,,,,,,,,,,"Piloto"
31,130,2022,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,,,,,,,,,,,"Piloto"
32,131,2022,2,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,13,,,,,,,,,,,"Piloto"
33,132,2022,2,0,0,17,0,0,0,0,0,0,9,0,0,0,0,0,0,,,,,,,,,,,"Piloto"
34,133,2022,2,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,7,,,,,,,,,,,"Piloto"
35,134,2022,2,0,0,15,0,0,0,0,0,0,15,0,0,0,0,0,3,,,,,,,,,,,"Piloto"
36,135,2022,2,0,0,13,0,0,0,0,0,0,2,0,0,0,0,0,14,,,,,,,,,,,"Piloto"
37,136,2022,2,0,0,9,0,0,0,0,0,0,10,0,0,0,0,0,17,,,,,,,,,,,"Piloto"
38,137,2022,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,"Piloto"
39,138,2022,2,0,0,16,0,0,0,0,0,0,11,0,0,0,0,0,19,,,,,,,,,,,"Piloto"
40,139,2022,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,"Piloto"
41,140,2022,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,"Piloto"
42,141,2022,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,"Piloto"
43,142,2022,2,0,0,14,0,0,0,0,0,0,19,0,0,0,0,0,16,,,,,,,,,,,"Piloto"
44,143,2022,2,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,4,,,,,,,,,,,"Piloto"
45,144,2022,2,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,1,,,,,,,,,,,"Piloto"
46,145,2022,2,0,0,7,0,0,0,0,0,0,8,0,0,0,0,0,11,,,,,,,,,,,"Piloto"
47,146,2022,2,0,0,6,0,0,0,0,0,0,14,0,0,0,0,0,10,,,,,,,,,,,"Piloto"
48,147,2022,2,0,0,12,0,0,0,0,0,0,18,0,0,0,0,0,9,,,,,,,,,,,"Piloto"
49,148,2022,2,0,0,10,0,0,0,0,0,0,5,0,0,0,0,0,8,,,,,,,,,,,"Piloto"
50,149,2022,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,"Piloto"
51,125,2022,3,0,0,8,0,0,0,0,0,0,8,0,0,0,0,0,8,,,,,,,,,,,"Piloto"
52,126,2022,3,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,13,,,,,,,,,,,"Piloto"
53,127,2022,3,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,18,,,,,,,,,,,"Piloto"
54,128,2022,3,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,2,,,,,,,,,,,"Piloto"
55,129,2022,3,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,6,,,,,,,,,,,"Piloto"
56,130,2022,3,0,0,18,0,0,0,0,0,0,3,0,0,0,0,0,3,,,,,,,,,,,"Piloto"
57,131,2022,3,0,0,17,0,0,0,0,0,0,11,0,0,0,0,0,11,,,,,,,,,,,"Piloto"
58,132,2022,3,,,,,,,,,,,,,,,,,,,,,,,,,,,"Piloto"
59,133,2022,3,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,16,,,,,,,,,,,"Piloto"
