Id_Time,Id_Equipe,Id_Piloto,Status_Piloto,Ano_Jogo,Temporada,Tipo_Carreira
455,26,47,1,2019,10,"Piloto"
459,28,51,1,2019,10,"Piloto"
462,31,71,1,2020,1,"Piloto"
463,31,72,2,2020,1,"Piloto"
464,32,73,1,2020,1,"Piloto"
465,32,74,2,2020,1,"Piloto"
466,33,75,1,2020,1,"Piloto"
467,33,76,2,2020,1,"Piloto"
468,34,77,1,2020,1,"Piloto"
469,34,78,2,2020,1,"Piloto"
470,35,79,1,2020,1,"Piloto"
471,35,80,2,2020,1,"Piloto"
472,36,81,1,2020,1,"Piloto"
473,36,82,2,2020,1,"Piloto"
474,37,83,1,2020,1,"Piloto"
475,37,84,2,2020,1,"Piloto"
476,38,85,1,2020,1,"Piloto"
477,38,86,2,2020,1,"Piloto"
478,39,87,1,2020,1,"Piloto"
479,39,88,2,2020,1,"Piloto"
480,40,90,1,2020,1,"Piloto"
481,40,91,2,2020,1,"Piloto"
482,31,71,1,2020,2,"Piloto"
483,31,72,2,2020,2,"Piloto"
484,32,73,1,2020,2,"Piloto"
485,32,74,2,2020,2,"Piloto"
486,33,75,1,2020,2,"Piloto"
487,33,76,2,2020,2,"Piloto"
488,34,91,1,2020,2,"Piloto"
489,34,78,2,2020,2,"Piloto"
490,35,79,1,2020,2,"Piloto"
491,35,80,2,2020,2,"Piloto"
492,36,81,1,2020,2,"Piloto"
493,36,82,2,2020,2,"Piloto"
494,37,83,1,2020,2,"Piloto"
495,37,84,2,2020,2,"Piloto"
496,38,85,1,2020,2,"Piloto"
497,38,86,2,2020,2,"Piloto"
498,39,77,1,2020,2,"Piloto"
499,39,88,2,2020,2,"Piloto"
500,40,90,1,2020,2,"Piloto"
501,40,92,2,2020,2,"Piloto"
502,31,91,1,2020,3,"Piloto"
503,31,72,2,2020,3,"Piloto"
504,32,92,1,2020,3,"Piloto"
505,32,74,2,2020,3,"Piloto"
506,33,75,1,2020,3,"Piloto"
507,33,76,2,2020,3,"Piloto"
508,34,86,1,2020,3,"Piloto"
509,34,78,2,2020,3,"Piloto"
510,35,79,1,2020,3,"Piloto"
511,35,80,2,2020,3,"Piloto"
512,36,81,1,2020,3,"Piloto"
513,36,82,2,2020,3,"Piloto"
514,37,83,1,2020,3,"Piloto"
1,1,1,1,2017,1,"Piloto"
515,37,84,2,2020,3,"Piloto"
516,38,85,1,2020,3,"Piloto"
517,38,93,2,2020,3,"Piloto"
518,39,77,1,2020,3,"Piloto"
519,39,88,2,2020,3,"Piloto"
520,40,90,1,2020,3,"Piloto"
521,40,71,2,2020,3,"Piloto"
522,31,91,1,2020,4,"Piloto"
523,31,72,2,2020,4,"Piloto"
524,32,92,1,2020,4,"Piloto"
525,32,74,2,2020,4,"Piloto"
526,33,75,1,2020,4,"Piloto"
527,33,76,2,2020,4,"Piloto"
528,34,94,1,2020,4,"Piloto"
529,34,78,2,2020,4,"Piloto"
530,35,79,1,2020,4,"Piloto"
531,35,80,2,2020,4,"Piloto"
532,36,81,1,2020,4,"Piloto"
533,36,82,2,2020,4,"Piloto"
534,37,83,1,2020,4,"Piloto"
535,37,84,2,2020,4,"Piloto"
536,38,85,1,2020,4,"Piloto"
537,38,93,2,2020,4,"Piloto"
538,39,77,1,2020,4,"Piloto"
539,39,88,2,2020,4,"Piloto"
540,40,90,1,2020,4,"Piloto"
541,40,71,2,2020,4,"Piloto"
542,31,91,1,2020,5,"Piloto"
543,31,72,2,2020,5,"Piloto"
544,32,92,1,2020,5,"Piloto"
545,32,74,2,2020,5,"Piloto"
546,33,75,1,2020,5,"Piloto"
547,33,76,2,2020,5,"Piloto"
548,34,94,1,2020,5,"Piloto"
549,34,78,2,2020,5,"Piloto"
550,35,79,1,2020,5,"Piloto"
551,35,80,2,2020,5,"Piloto"
552,36,81,1,2020,5,"Piloto"
553,36,82,2,2020,5,"Piloto"
554,37,83,1,2020,5,"Piloto"
555,37,84,2,2020,5,"Piloto"
556,38,85,1,2020,5,"Piloto"
557,38,93,2,2020,5,"Piloto"
558,39,77,1,2020,5,"Piloto"
559,39,88,2,2020,5,"Piloto"
560,40,90,1,2020,5,"Piloto"
561,40,71,2,2020,5,"Piloto"
562,31,91,1,2020,6,"Piloto"
563,31,72,2,2020,6,"Piloto"
564,32,92,1,2020,6,"Piloto"
565,32,74,2,2020,6,"Piloto"
566,33,75,1,2020,6,"Piloto"
567,33,76,2,2020,6,"Piloto"
568,34,94,1,2020,6,"Piloto"
569,34,78,2,2020,6,"Piloto"
570,35,79,1,2020,6,"Piloto"
571,35,80,2,2020,6,"Piloto"
572,36,81,1,2020,6,"Piloto"
573,36,82,2,2020,6,"Piloto"
574,37,83,1,2020,6,"Piloto"
575,37,84,2,2020,6,"Piloto"
576,38,85,1,2020,6,"Piloto"
577,38,93,2,2020,6,"Piloto"
578,39,95,1,2020,6,"Piloto"
579,39,88,2,2020,6,"Piloto"
580,40,90,1,2020,6,"Piloto"
581,40,71,2,2020,6,"Piloto"
582,41,98,1,2021,1,"Piloto"
583,41,99,2,2021,1,"Piloto"
584,42,102,1,2021,1,"Piloto"
585,42,103,2,2021,1,"Piloto"
586,43,106,1,2021,1,"Piloto"
587,43,109,2,2021,1,"Piloto"
588,44,100,1,2021,1,"Piloto"
589,44,105,2,2021,1,"Piloto"
590,45,124,1,2021,1,"Piloto"
591,45,107,2,2021,1,"Piloto"
592,46,101,1,2021,1,"Piloto"
593,46,108,2,2021,1,"Piloto"
594,47,110,1,2021,1,"Piloto"
595,47,123,2,2021,1,"Piloto"
596,48,114,1,2021,1,"Piloto"
597,48,115,2,2021,1,"Piloto"
2,1,2,2,2017,1,"Piloto"
598,49,112,1,2021,1,"Piloto"
599,49,113,2,2021,1,"Piloto"
600,50,117,1,2021,1,"Piloto"
601,50,118,2,2021,1,"Piloto"
602,51,125,1,2022,1,"Piloto"
603,51,143,2,2022,1,"Piloto"
604,52,128,1,2022,1,"Piloto"
605,52,134,2,2022,1,"Piloto"
606,53,148,1,2022,1,"Piloto"
607,53,144,2,2022,1,"Piloto"
608,54,129,1,2022,1,"Piloto"
609,54,130,2,2022,1,"Piloto"
610,55,127,1,2022,1,"Piloto"
611,55,131,2,2022,1,"Piloto"
612,56,149,1,2022,1,"Piloto"
613,56,133,2,2022,1,"Piloto"
614,57,136,1,2022,1,"Piloto"
615,57,146,2,2022,1,"Piloto"
616,58,126,1,2022,1,"Piloto"
617,58,147,2,2022,1,"Piloto"
618,59,135,1,2022,1,"Piloto"
619,59,132,2,2022,1,"Piloto"
620,60,145,1,2022,1,"Piloto"
621,60,138,2,2022,1,"Piloto"
622,51,125,1,2022,2,"Piloto"
623,51,143,2,2022,2,"Piloto"
624,52,128,1,2022,2,"Piloto"
625,52,134,2,2022,2,"Piloto"
626,53,148,1,2022,2,"Piloto"
627,53,147,2,2022,2,"Piloto"
628,54,129,1,2022,2,"Piloto"
629,54,130,2,2022,2,"Piloto"
630,55,127,1,2022,2,"Piloto"
631,55,131,2,2022,2,"Piloto"
632,56,144,1,2022,2,"Piloto"
633,56,133,2,2022,2,"Piloto"
634,57,136,1,2022,2,"Piloto"
635,57,146,2,2022,2,"Piloto"
3,2,3,1,2017,1,"Piloto"
636,58,126,1,2022,2,"Piloto"
637,58,142,2,2022,2,"Piloto"
638,59,135,1,2022,2,"Piloto"
639,59,132,2,2022,2,"Piloto"
640,60,145,1,2022,2,"Piloto"
641,60,138,2,2022,2,"Piloto"
642,51,125,1,2022,3,"Piloto"
643,51,144,2,2022,3,"Piloto"
644,52,128,1,2022,3,"Piloto"
645,52,134,2,2022,3,"Piloto"
646,53,148,1,2022,3,"Piloto"
647,53,150,2,2022,3,"Piloto"
648,54,129,1,2022,3,"Piloto"
649,54,130,2,2022,3,"Piloto"
650,55,127,1,2022,3,"Piloto"
651,55,131,2,2022,3,"Piloto"
652,56,143,1,2022,3,"Piloto"
653,56,133,2,2022,3,"Piloto"
654,57,136,1,2022,3,"Piloto"
655,57,146,2,2022,3,"Piloto"
656,58,126,1,2022,3,"Piloto"
657,58,142,2,2022,3,"Piloto"
658,59,135,1,2022,3,"Piloto"
659,59,147,2,2022,3,"Piloto"
660,60,145,1,2022,3,"Piloto"
661,60,138,2,2022,3,"Piloto"
662,51,129,1,2022,4,"Piloto"
663,51,144,2,2022,4,"Piloto"
664,52,128,1,2022,4,"Piloto"
665,52,134,2,2022,4,"Piloto"
666,53,148,1,2022,4,"Piloto"
667,53,150,2,2022,4,"Piloto"
668,54,145,1,2022,4,"Piloto"
669,54,130,2,2022,4,"Piloto"
670,55,127,1,2022,4,"Piloto"
671,55,131,2,2022,4,"Piloto"
672,56,143,1,2022,4,"Piloto"
673,56,133,2,2022,4,"Piloto"
674,57,136,1,2022,4,"Piloto"
675,57,146,2,2022,4,"Piloto"
676,58,151,1,2022,4,"Piloto"
677,58,142,2,2022,4,"Piloto"
678,59,135,1,2022,4,"Piloto"
