Id_Equipe,Nome_Equipe,Ano_Jogo,Cor_Equipe,Tipo_Carreira
31,"Mercedes",2020,16776960,"Piloto"
32,"Ferrari",2020,255,"Piloto"
33,"Redbull",2020,16711680,"Piloto"
34,"Racing Point",2020,16752639,"Piloto"
35,"Renault",2020,59110,"Piloto"
36,"McLaren",2020,33023,"Piloto"
37,"Alpha Tauri",2020,8404992,"Piloto"
38,"Haas",2020,8421504,"Piloto"
39,"Alfa Romeo",2020,128,"Piloto"
40,"Williams",2020,15921906,"Piloto"
41,"Mercedes",2021,15395328,"Piloto"
42,"Red Bull",2021,16711680,"Piloto"
43,"McLaren",2021,2659583,"Piloto"
44,"Aston Martin",2021,4227072,"Piloto"
45,"Alpine",2021,16744448,"Piloto"
46,"Ferrari",2021,255,"Piloto"
47,"AlphaTauri",2021,8135683,"Piloto"
48,"Alfa Romeo",2021,187,"Piloto"
49,"Haas",2021,8421504,"Piloto"
50,"Williams",2021,14408667,"Piloto"
54,"Red Bull Racing",2022,4194304,"Piloto"
55,"Aston Martin",2022,32768,"Piloto"
56,"Alpine",2022,16750125,"Piloto"
57,"Alpha Tauri",2022,16711680,"Piloto"
58,"Alfa Romeo",2022,128,"Piloto"
59,"McLaren",2022,33023,"Piloto"
60,"Haas",2022,0,"Piloto"
61,"Red Bull Racing",2023,4194304,"Piloto"
62,"Ferrari",2023,255,"Piloto"
63,"Mercedes",2023,16776960,"Piloto"
64,"Alpine",2023,16750125,"Piloto"
65,"McLaren",2023,33023,"Piloto"
66,"Alfa Romeo",2023,128,"Piloto"
67,"Aston Martin",2023,32768,"Piloto"
68,"Haas",2023,12632256,"Piloto"
69,"Alpha Tauri",2023,16711680,"Piloto"
70,"Williams",2023,16769702,"Piloto"
81,"Red Bull Racing",2024,4194304,"Piloto"
82,"Ferrari",2024,255,"Piloto"
83,"Mercedes",2024,16776960,"Piloto"
84,"Alpine",2024,16750125,"Piloto"
85,"McLaren",2024,33023,"Piloto"
86,"Kick Sauber",2024,65280,"Piloto"
87,"Aston Martin",2024,32768,"Piloto"
88,"Haas",2024,12632256,"Piloto"
89,"Visa Cash App RB",2024,16711680,"Piloto"
90,"Williams",2024,16769702,"Piloto"
92,"McLaren",2025,33023,"Piloto"
93,"Ferrari",2025,255,"Piloto"
94,"Red Bull Racing",2025,4194304,"Piloto"
95,"Mercedes",2025,16776960,"Piloto"
96,"Aston Martin",2025,32768,"Piloto"
97,"Alpine",2025,16750125,"Piloto"
98,"Haas",2025,12632256,"Piloto"
99,"Racing Bulls",2025,16711680,"Piloto"
100,"Williams",2025,16769702,"Piloto"
101,"Kick Sauber",2025,65280,"Piloto"
51,"Mercedes",2022,16776960,"Piloto"
52,"Ferrari",2022,255,"Piloto"
53,"Williams",2022,16777215,"Piloto"
1,"Mercedes",2017,16776960,"Piloto"
2,"Ferrari",2017,255,"Piloto"
3,"Williams",2017,16777215,"Piloto"
4,"Red Bull",2017,4194304,"Piloto"
5,"Force India",2017,16754943,"Piloto"
6,"Renault",2017,65535,"Piloto"
7,"Toro Rosso",2017,16711680,"Piloto"
8,"Sauber",2017,16744576,"Piloto"
9,"Mclaren",2017,8421504,"Piloto"
10,"Haas",2017,128,"Piloto"
11,"Mercedes",2018,16776960,"Piloto"
12,"Ferrari",2018,255,"Piloto"
30,"Williams",2019,16777215,"Piloto"
29,"Toro Rosso",2019,16711680,"Piloto"
28,"Alfa Romeo",2019,174,"Piloto"
27,"Racing Point ",2019,16752127,"Piloto"
26,"McLaren",2019,875519,"Piloto"
25,"Haas",2019,8454143,"Piloto"
24,"Renault",2019,60138,"Piloto"
23,"Red Bull",2019,8404992,"Piloto"
13,"Red Bull",2018,6684672,"Piloto"
14,"Force India",2018,16739583,"Piloto"
15,"Williams",2018,16759671,"Piloto"
16,"McLaren",2018,33023,"Piloto"
17,"Toro Rosso",2018,16711680,"Piloto"
18,"Hass",2018,16777215,"Piloto"
19,"Renault",2018,65535,"Piloto"
20,"Sauber",2018,128,"Piloto"
21,"Mercedes",2019,16645376,"Piloto"
22,"Ferrari",2019,255,"Piloto"
